"","X","status","id","id_argos","date","time","velE","velN","lat","long","temp","xm","ym","dist","dist_Paula","xMercator","yMercator","vel","dateF","timeF","timeMong","dayF","dayOfYear","year","nameModis","hoursD","hoursD_Paula","month","daysToFindFrom","daysToFind","dayD","distX","distY","start"
"60",1649,"Recovered",602191,76798,"2008.01.25","3:00:36",-2.88,1.68,46.902194,115.28096,-7,1389.797,2030.131,41.2817406851987,187,12833018,5894910,3.334186557,(08.01.25 03:00:36),"3:00:36",11,"1/25/08",25,2008,"2008017_merc",5,5,"Jan",390,390,16,-6.80500000000006,-40.7169999999999,"noStart"
"61",1678,"Recovered",602191,76798,"2008.02.10","3:00:36",-0.07,0.19,46.983153,115.30307,-7,1389.316,2039.247,9.12868101096756,1858,12835479,5908069,0.202484567,(08.02.10 03:00:36),"3:00:36",11,"2/10/08",41,2008,"2008033_merc",5,5,"Feb",406,406,16,-0.480999999999995,9.11599999999999,"noStart"
"62",1706,"Recovered",602191,76798,"2008.02.26","3:00:37",-0.005,-0.01,46.93854,115.412197,6,1397.753,2036.062,9.01815912478813,2152,12847627,5900815,0.01118034,(08.02.26 03:00:37),"3:00:37",11,"2/26/08",57,2008,"2008049_merc",5,5,"Feb",422,422,16.000011574075,8.4369999999999,-3.18500000000017,"noStart"
"63",1735,"Recovered",602191,76798,"2008.03.13","3:01:05",-0.2,0.84,47.100752,115.180986,12,1378.251,2050.168,24.0688022136542,2882,12821889,5927219,0.863481326,(08.03.13 03:01:05),"3:01:05",11,"3/13/08",73,2008,"2008065_merc",5,5,"Mar",438,438,16.0003240740734,-19.502,14.1060000000002,"noStart"
"64",1764,"Recovered",602191,76798,"2008.03.29","3:01:06",0.04,-0.635,47.051069,114.940059,13,1363.246,2041.185,17.488405130257,1392,12795069,5919123,0.636258595,(08.03.29 03:01:06),"3:01:06",11,"3/29/08",89,2008,"2008081_merc",5,5,"Mar",454,454,16.000011574075,-15.0049999999999,-8.98300000000017,"noStart"
"65",1793,"Recovered",602191,76798,"2008.04.14","3:01:06",-0.06,0.34,47.225074,114.193752,13,1308.972,2049.251,54.8700959722144,1132,12711990,5947511,0.34525353,(08.04.14 03:01:06),"3:01:06",11,"4/14/08",105,2008,"2008097_merc",5,5,"Apr",470,470,16,-54.2740000000001,8.06600000000026,"noStart"
"66",1822,"Recovered",602191,76798,"2008.04.30","3:00:37",-0.02,-0.06,47.211053,114.066164,16,1300.718,2045.915,8.90266319704391,4220,12697787,5945220,0.063245553,(08.04.30 03:00:37),"3:00:37",11,"4/30/08",121,2008,"2008113_merc",5,5,"Apr",486,486,15.9996643518516,-8.25399999999991,-3.33600000000024,"noStart"
"67",1851,"Recovered",602191,76798,"2008.05.16","3:00:37",-0.24,0.32,47.664704,113.476826,16,1250.998,2087.129,64.5807416804731,1069,12632182,6019652,0.4,(08.05.16 03:00:37),"3:00:37",11,"5/16/08",137,2008,"2008129_merc",5,5,"May",502,502,16,-49.72,41.2139999999999,"noStart"
"68",1880,"Recovered",602191,76798,"2008.06.01","3:00:37",-0.015,0.02,47.667893,113.481014,24,1251.207,2087.533,0.454859318910828,396,12632649,6020178,0.025,(08.06.01 03:00:37),"3:00:37",11,"6/1/08",153,2008,"2008145_merc",5,5,"Jun",518,518,16,0.20900000000006,0.403999999999996,"noStart"
"69",1908,"Recovered",602191,76798,"2008.06.17","3:00:36",-1.18,-0.04,47.686767,113.525702,28,1253.772,2090.198,3.69884441413787,5151,12637623,6023289,1.180677771,(08.06.17 03:00:36),"3:00:36",11,"6/17/08",169,2008,"2008145_merc",5,5,"Jun",534,534,15.999988425925,2.56499999999983,2.66499999999996,"noStart"
"70",1937,"Recovered",602191,76798,"2008.07.03","3:00:36",-0.02,0,47.360375,114.802052,32,1346.61,2072.739,94.4653953837065,206,12779706,5969648,0.02,(08.07.03 03:00:36),"3:00:36",11,"7/3/08",185,2008,"2008161_merc",5,5,"Jul",550,550,16,92.838,-17.4589999999998,"noStart"
"76",2115,"Recovered",583657,76790,"2007.09.06","4:00:37",0,0,47.051587,114.974941,46,1365.581,2041.758,NA,11489,12798952,5919208,0,(07.09.06 04:00:37),"4:00:37",12,"9/6/07",249,2007,"2007225_merc",23,25,"Sep",249,249,NA,NA,NA,"start"
"78",2127,"Recovered",583657,76790,"2007.10.08","4:00:37",-0.02,0.04,47.123404,115.957613,13,1429.818,2064.481,28.9953984107822,4415,12908342,5930913,0.04472136,(07.10.08 04:00:37),"4:00:37",12,"10/8/07",281,2007,"2007257_merc",25,25,"Oct",281,281,16.0000115740731,28.7649999999999,-3.64799999999968,"noStart"
"79",2133,"Recovered",583657,76790,"2007.10.24","4:00:37",-1.66,2.32,47.162599,115.550085,7,1401.518,2062.454,28.3724995197814,10231,12862977,5937308,2.852718002,(07.10.24 04:00:37),"4:00:37",12,"10/24/07",297,2007,"2007273_merc",25,25,"Oct",297,297,16,-28.3,-2.02700000000004,"noStart"
"80",2139,"Recovered",583657,76790,"2007.11.09","4:00:39",0,0.02,47.549309,113.740777,22,1271.219,2078.18,131.244567418998,19674,12661565,6000658,0.02,(07.11.09 04:00:39),"4:00:39",12,"11/9/07",313,2007,"2007289_merc",25,25,"Nov",313,313,16.0000231481481,-130.299,15.7259999999997,"noStart"
"82",2151,"Recovered",583657,76790,"2007.12.11","4:00:20",0.205,-0.08,47.225973,115.193417,-7,1376.054,2063.942,26.0356278395585,7094,12823273,5947657,0.220056811,(07.12.11 04:00:20),"4:00:20",12,"12/11/07",345,2007,"2007321_merc",25,25,"Dec",345,345,16,-18.7089999999998,18.106,"noStart"
"84",2162,"Recovered",583657,76790,"2008.01.09","4:00:36",-0.04,0.025,46.561149,117.848384,-11,1571.632,2034.593,186.245986890993,2309,13118822,5839695,0.047169906,(08.01.09 04:00:36),"4:00:36",12,"1/9/08",9,2008,"2008001_merc",25,25,"Jan",374,374,14.0417824074084,179.817,-48.5119999999999,"noStart"
"85",2168,"Recovered",583657,76790,"2008.01.25","4:00:23",-0.92,0.34,46.581764,117.717026,-3,1562.222,2034.577,9.41001360254073,1485,13104199,5843022,0.980815987,(08.01.25 04:00:23),"4:00:23",12,"1/25/08",25,2008,"2008017_merc",25,25,"Jan",390,390,15.9998495370364,-9.41000000000008,-0.0160000000000764,"noStart"
"86",2170,"Recovered",583657,76790,"2008.02.10","4:02:48",-0.22,-0.7,46.582007,117.725132,-2,1562.761,2034.74,0.563107449782002,6079,13105102,5843061,0.733757453,(08.02.10 04:02:48),"4:02:48",12,"2/10/08",41,2008,"2008033_merc",359,25,"Feb",406,406,16.0016782407401,0.538999999999987,0.163000000000011,"noStart"
"87",2176,"Recovered",583657,76790,"2008.02.26","4:00:36",-0.02,0.11,46.582243,117.708283,0,1561.62,2034.48,1.17024826425856,4931,13103226,5843100,0.111803399,(08.02.26 04:00:36),"4:00:36",12,"2/26/08",57,2008,"2008049_merc",25,25,"Feb",422,422,15.9984722222234,-1.14100000000008,-0.259999999999991,"noStart"
"88",2182,"Recovered",583657,76790,"2008.03.13","4:01:05",-0.64,-0.66,46.528789,116.816982,8,1502.901,2013.86,62.2342780226459,6975,13004007,5834474,0.919347595,(08.03.13 04:01:05),"4:01:05",12,"3/13/08",73,2008,"2008065_merc",25,25,"Mar",438,438,16.0003356481484,-58.7189999999998,-20.6200000000001,"noStart"
"89",2188,"Recovered",583657,76790,"2008.03.29","4:00:37",0,-0.04,46.43929,116.542234,13,1486.633,1999.721,21.5536341483286,6520,12973422,5820050,0.04,(08.03.29 04:00:37),"4:00:37",12,"3/29/08",89,2008,"2008081_merc",25,25,"Mar",454,454,15.9996759259247,-16.268,-14.1389999999999,"noStart"
"90",2194,"Recovered",583657,76790,"2008.04.14","4:00:37",0.06,-0.02,47.037712,118.271711,15,1586.869,2093.184,137.049582505749,6003,13165947,5916948,0.063245553,(08.04.14 04:00:37),"4:00:37",12,"4/14/08",105,2008,"2008097_merc",25,25,"Apr",470,470,16,100.236,93.4630000000002,"noStart"
"91",2200,"Recovered",583657,76790,"2008.04.30","4:00:37",0.025,0.02,46.854537,118.914107,15,1634.931,2084.739,48.7982978084279,937,13237458,5887173,0.032015621,(08.04.30 04:00:37),"4:00:37",12,"4/30/08",121,2008,"2008113_merc",25,25,"Apr",486,486,16,48.0620000000001,-8.44500000000016,"noStart"
"92",2206,"Recovered",583657,76790,"2008.05.16","4:00:37",-0.425,-0.845,46.951875,119.059769,14,1641.863,2097.789,14.7768441827071,19821,13253673,5902982,0.945859398,(08.05.16 04:00:37),"4:00:37",12,"5/16/08",137,2008,"2008129_merc",25,25,"May",502,502,16,6.93200000000002,13.0500000000002,"noStart"
"93",2212,"Recovered",583657,76790,"2008.06.01","4:00:37",-3.32,-0.3,47.323842,115.272769,25,1378.995,2075.749,263.790346722544,21469,12832106,5963665,3.333526661,(08.06.01 04:00:37),"4:00:37",12,"6/1/08",153,2008,"2008145_merc",25,25,"Jun",518,518,16,-262.868,-22.0400000000004,"noStart"
"94",2218,"Recovered",583657,76790,"2008.06.17","4:00:37",-0.04,0,47.766281,113.3743,30,1241.908,2096.807,138.694934777734,9616,12620769,6036408,0.04,(08.06.17 04:00:37),"4:00:37",12,"6/17/08",169,2008,"2008145_merc",25,25,"Jun",534,534,16,-137.087,21.058,"noStart"
"95",2223,"Recovered",583657,76790,"2008.07.03","4:00:36",0.015,0.02,47.727359,112.1164,33,1158.709,2076.142,85.7269842348369,4039,12480741,6029983,0.025,(08.07.03 04:00:36),"4:00:36",12,"7/3/08",185,2008,"2008161_merc",25,25,"Jul",550,550,15.9999884259269,-83.1989999999998,-20.665,"noStart"
"99",2243,"Capture",601607,76792,"2007.09.04","5:00:00",NA,NA,46.96728,114.77933,NA,1354.416,2029.711,NA,89203,12777177,5905487,NA,(07.09.04 05:00:00),"5:00:00",13,"9/4/07",247,2007,"2007225_merc",0,740,"Sep",247,249,NA,NA,NA,"start"
"100",2247,"Argos",601607,76792,"2007.10.08","4:00:00",NA,NA,46.6852,115.9683,NA,1441.545,2017.193,88.02365003225,831,12909532,5859738,NA,(07.10.08 04:00:00),"4:00:00",12,"10/8/07",281,2007,"2007257_merc",25,25,"Oct",281,281,33.9583333333321,87.1290000000001,-12.518,"noStart"
"101",2250,"Argos",601607,76792,"2007.10.24","4:00:00",NA,NA,46.7822,115.9649,NA,1438.879,2027.644,10.7856829640038,17338,12909154,5875443,NA,(07.10.24 04:00:00),"4:00:00",12,"10/24/07",297,2007,"2007273_merc",25,25,"Oct",297,297,16,-2.66600000000017,10.451,"noStart"
"102",2255,"Argos",601607,76792,"2007.11.09","4:00:00",NA,NA,46.9866,115.3566,NA,1392.835,2040.431,47.7865808046568,4310,12841438,5908630,NA,(07.11.09 04:00:00),"4:00:00",12,"11/9/07",313,2007,"2007289_merc",25,25,"Nov",313,313,16,-46.0439999999999,12.787,"noStart"
"103",2260,"Argos",601607,76792,"2007.12.11","4:00:00",NA,NA,46.8516,115.7011,NA,1419.36,2031.062,28.131011108739,2231,12879788,5886696,NA,(07.12.11 04:00:00),"4:00:00",12,"12/11/07",345,2007,"2007321_merc",25,25,"Dec",345,345,32,26.5249999999999,-9.36900000000014,"noStart"
"104",2265,"Argos",601607,76792,"2008.01.09","4:01:00",NA,NA,46.5755,116.1703,NA,1457.97,2008.501,44.7183499360163,2168,12932019,5842011,NA,(08.01.09 04:01:00),"4:01:00",12,"1/9/08",9,2008,"2008001_merc",25,25,"Jan",374,374,29.0006944444449,38.6100000000001,-22.5609999999999,"noStart"
"105",2270,"Argos",601607,76792,"2008.01.25","4:00:00",NA,NA,46.523,116.0586,NA,1451.738,2001.051,9.71289472814363,3584,12919584,5833540,NA,(08.01.25 04:00:00),"4:00:00",12,"1/25/08",25,2008,"2008017_merc",25,25,"Jan",390,390,15.9993055555551,-6.23199999999997,-7.45000000000005,"noStart"
"106",2276,"Argos",601607,76792,"2008.02.10","4:00:00",NA,NA,46.7059,115.9825,NA,1441.984,2019.657,21.0077069667301,2383,12911113,5863087,NA,(08.02.10 04:00:00),"4:00:00",12,"2/10/08",41,2008,"2008033_merc",25,25,"Feb",406,406,16,-9.75400000000013,18.606,"noStart"
"107",2281,"Argos",601607,76792,"2008.02.26","4:00:00",NA,NA,46.7169,115.9317,NA,1438.278,2020.053,3.72709699363988,1817,12905458,5864867,NA,(08.02.26 04:00:00),"4:00:00",12,"2/26/08",57,2008,"2008049_merc",25,25,"Feb",422,422,16,-3.7059999999999,0.396000000000186,"noStart"
"108",2285,"Argos",601607,76792,"2008.03.13","4:00:00",NA,NA,46.4164,116.6116,NA,1491.924,1998.37,57.8623003777071,1891,12981144,5816365,NA,(08.03.13 04:00:00),"4:00:00",12,"3/13/08",73,2008,"2008065_merc",25,25,"Mar",438,438,16,53.646,-21.6830000000002,"noStart"
"109",2290,"Argos",601607,76792,"2008.03.29","4:01:00",NA,NA,46.4058,116.1544,NA,1461.196,1989.882,31.8787723728503,3805,12930249,5814659,NA,(08.03.29 04:01:00),"4:01:00",12,"3/29/08",89,2008,"2008081_merc",25,25,"Mar",454,454,16.0006944444449,-30.7280000000001,-8.48799999999983,"noStart"
"110",2295,"Argos",601607,76792,"2008.04.14","4:00:00",NA,NA,46.3762,116.5113,NA,1486.163,1992.399,25.0935525185256,1675,12969979,5809897,NA,(08.04.14 04:00:00),"4:00:00",12,"4/14/08",105,2008,"2008097_merc",25,25,"Apr",470,470,15.9993055555551,24.9670000000001,2.51699999999983,"noStart"
