"","uniqueID","year","month","day","hour","xm","ym","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","rID","distX","distY","dist2X","dist2Y"
"63536","M7","2008","Sep",24,0,1813.64,516.144,24-09-08,"noStart",TRUE,265,16,2.13258739563003,630,630,95,1.44000000000005,1.57299999999998,1.44000000000005,1.57299999999998
"64008","M7","2008","Oct",10,1,1814.738,512.801,10-10-08,"noStart",TRUE,281,16,3.51870047034408,646,646,96,1.09799999999996,-3.34299999999996,1.09799999999996,-3.34299999999996
"64460","M7","2008","Oct",26,0,1812.222,514.41,26-10-08,"noStart",TRUE,297,16,2.98649242423284,662,662,97,-2.51600000000008,1.60899999999992,-2.51600000000008,1.60899999999992
"67307","M8","2007","Nov",10,0,1803.92,499.542,10-11-07,"noStart",FALSE,313,16,4.26954470640602,313,313,102,-0.364000000000033,4.25399999999996,-8.30199999999991,-14.868
"67456","M8","2007","Nov",26,3,1806.313,501.153,26-11-07,"noStart",FALSE,329,16,2.88474782260084,329,329,103,2.39300000000003,1.61100000000005,2.39300000000003,1.61100000000005
"67604","M8","2007","Dec",12,1,1806.06,499.354,12-12-07,"noStart",FALSE,345,16,1.81670305773954,345,345,104,-0.253000000000156,-1.79900000000004,-0.253000000000156,-1.79900000000004
"67752","M8","2007","Dec",28,0,1806.928,500.679,28-12-07,"noStart",FALSE,361,16,1.58399779040258,361,361,105,0.868000000000166,1.32499999999999,0.868000000000166,1.32499999999999
"67899","M8","2008","Jan",12,0,1805.46,500.756,12-01-08,"noStart",TRUE,9,15,1.47001802710042,374,374,106,-1.46800000000007,0.0769999999999982,-1.46800000000007,0.0769999999999982
"68050","M8","2008","Jan",28,1,1803.468,497.635,28-01-08,"noStart",TRUE,25,16,3.70252683987567,390,390,107,-1.99199999999996,-3.12099999999998,-1.99199999999996,-3.12099999999998
"68201","M8","2008","Feb",13,1,1805.463,500.798,13-02-08,"noStart",TRUE,41,16,3.73959810674886,406,406,108,1.99499999999989,3.16300000000001,1.99499999999989,3.16300000000001
"68359","M8","2008","Feb",29,0,1805.296,493.789,29-02-08,"noStart",TRUE,57,16,7.01098923119984,422,422,109,-0.166999999999916,-7.00900000000001,-0.166999999999916,-7.00900000000001
"68519","M8","2008","Mar",16,1,1804.857,495.34,16-03-08,"noStart",TRUE,73,16,1.61193113996846,438,438,110,-0.439000000000078,1.55099999999999,-0.439000000000078,1.55099999999999
"68664","M8","2008","Apr",1,10,1801.679,496.357,01-04-08,"noStart",TRUE,89,16,3.33676085448139,454,454,111,-3.17799999999988,1.01700000000005,-3.17799999999988,1.01700000000005
